date,0,1,2,3,4,5,6,7,8,9
2017/8/31,1085431.898,1090822.664,1090811.775,1088773.126,1076889.104,1070153.612,1106241.568,1082974.079,1075802.695,1089745.651
2017/9/1,1087051.344,1092514.841,1091811.668,1090477.717,1078528.167,1072864.855,1107723.565,1086046.701,1077617.877,1090600.634
2017/9/5,1074140.619,1084106.648,1080378.935,1081303.764,1064375.059,1059799.413,1096018.997,1073164.559,1067556.652,1080197.969
2017/9/6,1076762.498,1086781.55,1083265.303,1083981.972,1067419.077,1062740.036,1098831.887,1076516.992,1071114.08,1082392.887
2017/9/7,1075165.37,1088925.442,1086418.695,1082172.195,1065230.924,1065730.944,1098811.19,1077313.442,1067818.361,1079937.571
2017/9/8,1077353.66,1092336.087,1088624.68,1085733.063,1067434.008,1068054.344,1102718.985,1081791.648,1070008.579,1083001.073
2017/9/11,1093044.46,1107009.84,1102192.41,1103329.043,1081778.186,1085259.094,1117571.292,1097368.578,1084334.778,1097450.503
2017/9/12,1095567.914,1111404.466,1106578.3,1105884.437,1086080.966,1089171.342,1122869.604,1101421.894,1088439.067,1101432.071
2017/9/13,1098954.273,1114640.93,1107875.946,1109044.982,1088664.723,1092064.386,1125804.759,1102842.13,1090440.142,1103589.633
2017/9/14,1095207.601,1112404.291,1104885.131,1106790.484,1086146.22,1089844.407,1122718.256,1100042.646,1088223.466,1101417.66
2017/9/15,1095611.2,1113922.885,1105831.234,1108969.757,1087763.643,1091543.861,1123686.284,1101016.88,1091288.986,1102367.322
2017/9/18,1098704.582,1117511.564,1108229.07,1112631.714,1090208.92,1093712.853,1125755.02,1102798.66,1094620.054,1104798.74
2017/9/19,1096855.921,1115937.139,1106667.987,1110450.254,1087780.806,1091689.705,1123615.956,1101226.356,1092923.353,1103242.49
2017/9/20,1102343.899,1121644.713,1113052.438,1114961.632,1093501.268,1096302.937,1128925.296,1106546.028,1098469.631,1108720.447
2017/9/21,1098535.843,1117082.86,1108799.428,1108937.251,1089062.945,1092037.905,1125363.084,1102206.918,1093849.051,1104453.931
2017/9/22,1103087.294,1118596.048,1111828.427,1112870.315,1092664.34,1095033.253,1129102.343,1105249.747,1097449.421,1108368.139
2017/9/25,1102124.36,1117323.917,1110277.589,1111787.624,1091601.947,1093935.626,1127276.933,1104185.599,1096195.696,1106512.8
2017/9/26,1098705.481,1115053.028,1108898.423,1109369.584,1089459.973,1090375.374,1124985.077,1100552.299,1094044.466,1105139.364
2017/9/27,1102406.913,1118943.834,1113547.858,1112681.825,1092743.609,1093493.297,1128591.687,1104651.973,1097310.951,1108457.949
2017/9/28,1105125.657,1119349.699,1114149.905,1114477.354,1093113.279,1093875.318,1127955.607,1104912.374,1097722.237,1108237.341
2017/9/29,1110132.437,1123093.074,1117272.883,1117601.251,1097313.096,1099585.265,1133065.818,1107899.394,1101580.662,1111343.746
2017/10/2,1105593.368,1117721.991,1111178.254,1111996.087,1090526.596,1091222.323,1127088.671,1100935.113,1094587.846,1104797.923
2017/10/3,1104235.221,1115418.77,1109899.006,1109148.12,1089742.751,1089867.713,1124789.134,1099755.478,1093315.515,1104347.434
2017/10/4,1106145.708,1118383.287,1114755.058,1114211.177,1093673.391,1093789.247,1128840.845,1103677.788,1097180.121,1108334.673
2017/10/5,1116015.636,1128259.835,1124439.121,1123988.367,1104120.429,1103545.481,1139290.31,1112874.364,1108068.173,1118046.327
2017/10/6,1117994.607,1131052.499,1126697.896,1125394.211,1106925.604,1106109.611,1141519.168,1115140.945,1110376.494,1120707.629
2017/10/9,1115176.527,1128682.793,1124011.063,1122716.135,1104242.296,1102699.631,1139715.85,1112672.522,1107980.791,1118229.922
2017/10/10,1117026.419,1130507.91,1125532.18,1124685.524,1105638.783,1104487.541,1140818.724,1114438.62,1109349.207,1120147.478
2017/10/11,1117440.624,1130755.885,1125754.756,1124895.894,1105910.522,1104722.702,1141160.272,1114608.167,1108895.29,1119554.244
2017/10/12,1123894.716,1139320.309,1132101.776,1131562.496,1111541.828,1111313.347,1148010.081,1119943.016,1113221.578,1126081.124
2017/10/13,1125618.254,1141687.293,1134900.938,1132995.441,1112456.981,1113070.278,1152126.737,1122375.223,1115703.009,1128454.588
2017/10/16,1131974.61,1148241.142,1140694.442,1139155.651,1118704.801,1119676.168,1158919.434,1128422.315,1121822.216,1134770.42
2017/10/17,1125165.058,1140881.805,1133628.629,1132519.067,1111865.583,1112866.115,1155175.993,1122195.998,1114582.271,1128512.422
2017/10/18,1124663.823,1140378.764,1133260.683,1132199.166,1110066.277,1112688.625,1154666.648,1122250.945,1113066.151,1128256.82
2017/10/19,1131079.634,1147064.138,1139841.598,1140440.727,1116606.859,1119194.612,1161011.399,1128721.357,1119184.59,1134361.851
2017/10/20,1137890.025,1153886.622,1147183.046,1148091.549,1123381.7,1126049.643,1168034.448,1135438.113,1126151.497,1141437.777
2017/10/23,1131898.801,1147462.418,1140519.336,1141669.29,1116856.247,1119763.263,1161755.774,1129702.978,1120170.237,1134869.166
2017/10/24,1132341.142,1147437.746,1140965.046,1141645.573,1116471.009,1120156.953,1160919.159,1128748.041,1120478.706,1134606.724
2017/10/25,1123777.512,1138873.233,1132830.944,1132990.598,1108573.092,1112815.594,1153417.752,1120419.702,1112482.926,1125675.645
2017/10/26,1122658.194,1137198.656,1131093.348,1125180.003,1099895.942,1105379.241,1144980.886,1111679.024,1109513.963,1123667.995
2017/10/27,1129114.155,1142045.214,1136452.602,1130057.345,1107505.129,1110539.642,1150155.363,1117083.967,1114280.161,1131314.369
2017/10/30,1124671.23,1137657.705,1130890.435,1125291.7,1102849.576,1107014.634,1144626.946,1112253.772,1109531.381,1127810.386
2017/10/31,1127084.524,1139495.781,1135024.817,1129455.319,1106870.045,1111299.071,1148877.463,1116575.787,1113666.707,1132149.714
2017/11/1,1123719.978,1131928.616,1131097.321,1124705.711,1103603.688,1107881.43,1145309.18,1108849.272,1110044.023,1128719.987
2017/11/2,1134362.195,1142406.757,1137431.014,1132536.686,1114547.496,1119312.785,1155438.238,1119350.656,1121863.673,1138268.081
2017/11/3,1143077.995,1150103.233,1146945.736,1141550.094,1122911.328,1126687.49,1163493.419,1127281.655,1127968.235,1145936.675
2017/11/6,1146903.8,1154368.522,1151593.663,1146604.89,1127617.536,1130495.759,1168308.281,1132196.11,1131920.332,1150511.304
2017/11/7,1142121.215,1150747.124,1147911.118,1142940.884,1123215.685,1124242.507,1163559.389,1126988.314,1127160.211,1145738.692
2017/11/8,1151066.56,1158345.938,1154016.761,1149840.868,1130330.429,1131316.899,1171584.976,1132161.17,1134536.226,1152976.913
2017/11/9,1142776.894,1150314.018,1146528.077,1142738.842,1122192.583,1123633.164,1163825.12,1124236.521,1126146.423,1145463.16
2017/11/10,1142797.016,1149352.774,1145214.006,1142037.137,1121767.615,1123568.72,1163020.494,1122508.593,1125853.745,1143924.566
2017/11/13,1141572.755,1146590.951,1142937.461,1139320.23,1122304.535,1123505.976,1162924.769,1119750.883,1126205.9,1147291.237
2017/11/14,1144625.597,1146994.464,1145177.297,1140820.527,1123986.353,1124365.41,1163952.174,1121520.783,1127335.778,1148454.276
2017/11/15,1141789.223,1144358.7,1142041.101,1138261.907,1122026.511,1122404.906,1161284.026,1118896.178,1124581.779,1145415.32
2017/11/16,1148357.098,1148965.544,1146941.985,1143150.528,1129153.765,1129154.287,1166198.902,1123715.55,1130774.573,1152465.332
2017/11/17,1147921.703,1148687.338,1147049.303,1143055.261,1128799.363,1129079.373,1166112.031,1123669.028,1130770.888,1151841.643
2017/11/20,1151472.529,1153000.717,1150720.122,1147172.179,1132138.57,1131975.57,1169641.424,1126912.119,1133728.936,1155145.894
2017/11/21,1156069.343,1158437.023,1155949.621,1151821.765,1137313.385,1138052.951,1174468.451,1131945.664,1138898.176,1160215.664
2017/11/22,1152658.948,1155232.059,1152471.418,1148355.983,1133928.634,1134754.206,1171073.637,1128615.656,1135575.188,1157855.059
2017/11/24,1154807.876,1158108.881,1155198.882,1150592.194,1136535.891,1137241.572,1174361.669,1131784.478,1138284.222,1161105.977
